List,Sector,Short Form,Category,For TV,Market Cap,,Ticker,Cap Type,,,,SNo,Stategy,Flagship 40 (F40),Emerging 40 (E40),Smartpick 200 (S200),All listed,,List,Method,Cap,LIst Update,Volatality,Reward,Priority in Opportunity
EICHERMOT,AUTO,E40,Emerging 40,"EICHERMOT,",Large Cap,,RELIANCE,Large Cap,,,,1,Long Envelope,X,,,,,Flagship 40 (F40),Qualitative,Large & Mid,Very Rare,Low,Low,First
HYUNDAI,AUTO,E40,Emerging 40,"HYUNDAI,",Large Cap,,HDFCBANK,Large Cap,,,,2,Short Envelope,X,,,,,Emerging 40 (E40),Qualitative,Mid & Small,Very Rare,Medium,Medium,Second
M&M,AUTO,E40,Emerging 40,"M&M,",Large Cap,,BHARTIARTL,Large Cap,,,,3,Envelope + Knox,X,,,,,Smartpick 200 (S200),Quantitative,"Large, Mid & Small",Every Quarter,High,High,Third
TMPV,AUTO,E40,Emerging 40,"TMPV,",Large Cap,,ICICIBANK,Large Cap,,,,4,52W High Low,X,,,,,,,,,,,
VBL,BEVERAGES,E40,Emerging 40,"VBL,",Large Cap,,SBIN,Large Cap,,,,5,SMA,X,Only With BCD,,,,Usually this falls,20-30%,35-50%,50- 70%,,,
ULTRACEMCO,CEMENT,E40,Emerging 40,"ULTRACEMCO,",Large Cap,,TCS,Large Cap,,,Class 4,6,RHS,X,X,,,,List,Large,Mid,Small,,,
DMART,CONSUMER PRODUCT,E40,Emerging 40,"DMART,",Large Cap,,BAJFINANCE,Large Cap,,,Class 4,7,CWH,X,X,,,,Flagship 40 (F40),X,X,,,,
GODREJCP,CONSUMER PRODUCT,E40,Emerging 40,"GODREJCP,",Mid Cap,,LT,Large Cap,,,Class 4,8,10% Correcrtion,X,X,,,,Emerging 40 (E40),,X,X,,,
BSE,FINANCIAL SERVICES,E40,Emerging 40,"BSE,",Large Cap,,LICI,Large Cap,,,Class 4,9,ABCD,X,X,X,,,Smartpick 200 (S200),X,X,X,,,
JIOFIN,FINANCIAL SERVICES,E40,Emerging 40,"JIOFIN,",Large Cap,,HINDUNILVR,Large Cap,,,Class 6,10,20% Rally,X,X,X,,,,,,,,,
